title,published,summary,author,link,text
"U.K. Spy Agency Missed Chance to Stop Manchester Bombing, Inquiry Finds","Thu, 02 Mar 2023 19:30:28 +0000","The domestic security service MI5 failed to act on intelligence about a suicide attacker before he killed 22 people at a pop concert in 2017, an investigation concluded.",Euan Ward,https://www.nytimes.com/2023/03/02/world/europe/manchester-arena-bombing-report-ariana-grande.html,"The Manchester Arena bombing remains the deadliest act of terrorism in Britain in nearly two decades. On Thursday, almost six years after the attack, the intelligence failures that led to it were finally laid bare.

After months of deliberation, a public inquiry concluded that there had been a “significant missed opportunity” by Britain’s domestic intelligence agency to take action that might have prevented the attack, which killed 22 people and injured hundreds more after an Ariana Grande concert in 2017.

The final, 226-page report said that the spy agency, MI5, had failed to act on two key pieces of intelligence about Salman Abedi, the 22-year-old suicide bomber, in the months leading up to the attack. Although the report did not specify what the intelligence was, it rejected earlier claims by MI5 that the information was related to “nonterrorist criminality.”

Had MI5 acted on the intelligence, the report outlined, there would have been a “realistic possibility” it would have taken actions to thwart the attack."
"Harry and Meghan Told to Leave Frogmore Cottage, Their U.K. Home Base","Thu, 02 Mar 2023 11:51:34 +0000","Queen Elizabeth II offered Frogmore Cottage to the couple at the time of their wedding, and it was the couple’s home base on infrequent visits to Britain.",Mark Landler,https://www.nytimes.com/2023/03/02/world/europe/harry-meghan-frogmore-cottage-uk-home.html,"Prince Harry and his wife, Meghan, have been asked to move out of Frogmore Cottage, their five-bedroom Georgian house on the grounds of Windsor Castle, the couple’s press secretary said, in a further sign of the bitter rupture between them and the British royal family since they withdrew from royal duties and left Britain.

Queen Elizabeth II offered the house to the couple, known as the Duke and Duchess of Sussex, at the time of their wedding in 2018. It has served as their home base on infrequent visits to Britain since they relocated to Montecito, Calif.

“We can confirm the Duke and Duchess of Sussex have been requested to vacate their residence at Frogmore Cottage,” said the press secretary, Ashley Hansen, who is head of communications for the couple’s foundation, Archewell.

Ms. Hansen did not provide further details about the reasons for or timing of the eviction, which was first reported on Wednesday by The Sun, a British tabloid. The Sun said that King Charles III had made the decision shortly after the publication of Harry’s memoir, “Spare,” which is replete with scorching accounts of Harry’s dysfunctional relationship with Charles, his father; and with his brother, Prince William."
How A.I. Can Help,"Thu, 02 Mar 2023 11:42:49 +0000","ChatGPT is changing how people work. That can be scary. But for now, most jobs are still safe.",Lauren Jackson,https://www.nytimes.com/2023/03/02/briefing/chatgpt-ai.html,"Eli Snyder, a special-education teacher in Colorado, wanted to play basketball with his students. He had questions: How could he adapt the game for a child with cerebral palsy? And how could he help his students with autism play a highly stimulating activity?

ChatGPT had answers.

The artificial intelligence chatbot had analyzed the internet’s vast amount of data, including information about disabilities and basketball. It used patterns it found in all that text to generate recommendations: Shrink the court size to reduce the distance players need to travel in wheelchairs. Lower the hoop and install a ramp leading up to it so students can roll the basketball into the net. Pair up players so each person has a buddy for support.

Snyder could have found this information through a simple Google search. He turned to ChatGPT because it produced complete paragraphs instead of delivering links that would have left him with more clicking and synthesizing to do. The chatbot’s response helped him quickly write adapted lesson plans for each of his students.

“It’s been revolutionary,” Snyder, 30, said. “What used to take me an hour now takes me five minutes.”"
"A Ukrainian Mayor Disappeared, but Questions of His Loyalty Did Not","Thu, 02 Mar 2023 11:55:50 +0000","Traitor or hero? A decision by the former mayor of Kherson to remain in his post under Russian occupation has divided opinion, even after he vanished.",Michael Schwirtz and Ivor Prickett,https://www.nytimes.com/2023/03/02/world/europe/ukraine-kherson-mayor-russia.html,"KHERSON, Ukraine — The jailhouse near the Dnipro River where the Russians imprisoned and tortured hundreds of Ukrainians sits empty now. Many of its inmates were freed when Ukraine’s forces liberated the city more than three months ago.

But one prominent prisoner is still missing: the city’s former mayor, Ihor Kolykhaev.

The mayor, who refused to flee and for a while remained at his post after Russian forces swept into Kherson, was arrested in June and put in solitary confinement. In the fall, as Ukrainian forces advanced on the city, Mr. Kolykhaev’s jailers moved him deeper inside Russian-held territory, according to witnesses.

He has not been heard from since.

The disappearance has deepened questions swirling around Mr. Kolykhaev and the role he tried to play. Though he refused to acknowledge the Russians’ authority or swear fealty to them, he remained at his desk, working to keep the lights on and the buses running. The decision helped to ensure a livable city but also smoothed the way for Russian forces to create an occupation government."
Canadians Fume as Migrants Surge at Their Border,"Fri, 03 Mar 2023 03:34:44 +0000",A surge in illegal crossings from the United States has led to calls to shut down a rural road on the Canadian border.,Norimitsu Onishi,https://www.nytimes.com/2023/03/02/world/canada/canada-migrants-immigration.html,"“The fact that Biden is getting tougher reinforces the argument that the United States is not a safe country for asylum-seekers and that it doesn’t meet its international legal obligations regarding human rights and the reception of asylum-seekers,” said France-Isabelle Langlois, the director general of Amnesty International for francophone Canada.

Amid the focus on the treaty, Ms. Langlois said, “We’re losing sight of the fact that these are human beings who are fleeing very, very difficult situations.” She added: “These are not bad people, even those whose applications are ultimately rejected. We can’t forget that, basically, these people are seeking to improve their lot, as we would all do.”

As the Supreme Court weighs the fate of the treaty, migrants continue to flow through the Roxham Road crossing, intensifying demands that it be closed.

But simply shutting it down, experts said, would likely push migrants to try to cross into Canada through more dangerous points along the country’s 5,500-mile border with the United States.

“It’s very unclear,” said Laura Macdonald, a political scientist at Carleton University, “how you would keep out tens of thousands of asylum claimants who think they have the right to cross the border from doing so.”

Nasuna Stuart-Ulin contributed reporting from Saint-Bernard-de-Lacolle."
"When Clothes Fly Off, This Intimacy Coordinator Steps In","Thu, 02 Mar 2023 19:01:50 +0000",Jessica Steinrock’s work on intimate scenes in film has come to prominence as the entertainment industry reels from the litany of sexual abuses brought to light by the #MeToo movement.,Jennifer Harlan,https://www.nytimes.com/2023/03/02/business/intimacy-coordinator-sex-scenes-film-jessica-steinrock.html,"The pilot of “Yellowjackets” includes several intimate scenes, including one where two high schoolers, played by Sophie Nélisse and Jack Depew, have sex in a car, and another where a housewife, played by Melanie Lynskey, masturbates. Having Ms. Steinrock on set for those scenes was vital, Ms. Kusama said.

As a director, Ms. Kusama said she has always felt a deep empathy with how vulnerable actors are in these scenes and makes a point to check in. But even if she poses a question, it can be hard for an actor who is uncomfortable to respond honestly knowing how much is on the line. An intimacy coordinator, as a neutral party, is more likely to get an honest answer.

“Societally, sex is really hard to talk about,” Ms. Steinrock said. Her role is to “create more pathways of communication,” she explained, so the actors feel safe discussing any issues, big or small, that may come up.

Having an intimacy coordinator doesn’t just create a safer environment, Ms. Kusama said: It also makes for better, sexier art.

“It demands that you take responsibility for your story with the actors, that you actually say, Yeah, we’re depicting sex and here’s what it needs to mean — i.e. it needs to mean something,” she said. “And conversely, I can say to an intimacy coordinator, ‘You know, it feels like I’m watching two people peck each other on the cheek, and there’s zero heat here.’”

This is where the choreography piece of Ms. Steinrock’s job comes in: She can offer ways to use breath or adjust positions to make a scene more evocative."
Anger Grows in Greece After Train Crash Kills at Least 57,"Sat, 04 Mar 2023 13:32:51 +0000","Interviews reveal the tragic toll on students and workers, with at least 57 people killed. Protesters angry over the rail service’s safety record clashed with the police, and train employees went on strike.",Emma Bubola and Iliana Magra,https://www.nytimes.com/2023/03/02/world/europe/greece-train-crash.html,"“And because they thought it was safer,” he added.

Image Vaios Vlachos and Daphne Brella. His body was identified on Thursday, and she was in an intensive care unit. Credit... Evangelos Vlachos

After the crash, passengers found Ms. Brella alive in the rubble, unable to move because she had suffered several fractures. She asked about Mr. Vlachos. Above her loomed the train car, in flames. She was taken to an intensive care unit. Mr. Vlachos’s mother gave doctors a sample of her own blood for DNA identification in case he was found. On Thursday night, his body was identified.

Thessaloniki, Greece’s second-largest city, hosts tens of thousands of university students. Anastasia Papaggeli, 18, a student of agriculture at the city’s Aristotle University, the country’s largest, is among those missing after the crash. Her sister, Urania Papaggeli, 20, said that Anastasia had gone to the city of Patras, near Athens, for the carnival while dressed as an elf.

When Urania read about the deadly crash, she figured her sister was in the train’s third car. She called her, but there was no answer.

Elpida Choupa, 28, an architecture student at the same university, had also gone to Athens with a friend for the holiday; she is also missing. Her friend, who was in the crash, is in intensive care after undergoing head surgery, said Elpida’s brother, Costas Choupas, 21, who added that their mother “can’t even bear her thoughts, and the possibilities.”

Image Elpida Choupa.

The family of Dennis Rutsi, 22, who is from Thessaloniki, also has no news of him. “All of us are a mess,” said his brother, Christian Rutsi. “I feel empty.”"
"In the Ukraine war, talking about peace is a fight of its own.","Thu, 02 Mar 2023 09:22:26 +0000","Russia and the West have argued for months about which side is more willing to negotiate, with the world as an audience.",Michael Crowley,https://www.nytimes.com/2023/03/02/world/europe/in-the-ukraine-war-talking-about-peace-is-a-fight-of-its-own.html,"WASHINGTON — As the fight in Ukraine has dragged on for the past year, another battle has unfolded in parallel: a war of words between Russia and the West over who is more interested in ending the conflict peacefully.

For now, analysts and Western officials say, serious peace talks are extremely difficult to envision. Both sides have set conditions for negotiations that cannot be met anytime soon, and have vowed to fight until victory.

And Ukraine’s president has ruled out dealing directly with Russian President Vladimir V. Putin because of atrocities committed by his military forces."
Your Thursday Briefing,"Thu, 02 Mar 2023 05:58:56 +0000",Here’s what you need to know.,Natasha Frost,https://www.nytimes.com/2023/03/02/briefing/nigeria-president-brexit-ukraine.html,"The challenges facing Nigeria’s new leader

Bola Tinubu, a former state governor and a powerful political kingmaker in Nigeria, was declared the West African nation’s next president yesterday after a closely fought contest. Tinubu won about 8.8 million votes, according to electoral officials, trailed by the opposition candidates Atiku Abubakar, with about seven million, and Peter Obi, with about 6.1 million.

For many Nigerians, Tinubu’s victory is a daunting prospect. He is a contentious figure who is widely perceived as corrupt, in poor health and a stalwart of the old guard. (He says he is 70, but some Nigerians think he is much older.) Others see him as a capable pair of hands who turned around Nigeria’s biggest city, Lagos, when he served as governor of Lagos State from 1999 to 2007.

A country of immense natural riches, bursting with talent — with big technology, music and film industries — Nigeria is also a nation where over 60 percent of the people live in poverty, millions of children are out of school and kidnapping is a daily risk. The country is also facing a major cash crisis after a poorly managed currency redesign.

Nicknames: Tinubu is often called Jagaban by his supporters. Meaning “big boss” or “boss of bosses,” it captures the power he wields and the deference he is often treated with as a result. Others refer to him as Balablu — a reference to a speech in which he tried and failed to say the word “hullabaloo,” and a form of shorthand to imply that he is inadequate for the job."
"Leave Russia? A Year Later Many Companies Can’t, or Won’t.","Thu, 02 Mar 2023 05:00:08 +0000","Not all Western companies packed up and left Russia after its invasion of Ukraine. Some say Moscow has tied their hands, while others choose to stay put.",Liz Alderman,https://www.nytimes.com/2023/03/02/business/russia-companies-exit.html,"When Russia invaded Ukraine, a phalanx of Western companies pledged to get out fast from what had once been an important market. McDonald’s dismantled its golden arches after 32 years. The oil giant BP moved to divest its mammoth Russian investments. The French automaker Renault sold its factories for the symbolic sum of one ruble.

But a year into the war, hundreds of Western businesses are still in Russia, including blue-chip and midsize companies from Europe and the United States. They are doing business despite Western sanctions and boisterous boycott campaigns pressed by Ukrainian officials, consumers and human rights groups.

Some companies, facing accusations that they are helping finance Russia’s aggression, say they are staying because their customers need them. Among them is Auchan, one of France’s largest supermarket chains, which has kept its 230 stores in Russia open and says it intends to stay. The retailer has drawn the ire of the Ukrainian president, Volodymyr Zelensky, and recently faced fresh calls for a boycott after a report that Auchan’s Russian subsidiary supplied donated food to the country’s military.

Auchan has denied those allegations, but is unapologetic about remaining in Russia and Ukraine, where it also has stores, to “meet the essential food needs of the civilian populations.”"
Biden Challenged by Softening Public Support for Arming Ukraine,"Thu, 02 Mar 2023 00:40:59 +0000",Proponents of more aid fear that growing taxpayer fatigue toward shipping tens of billions of dollars overseas could undercut the war effort.,Peter Baker,https://www.nytimes.com/2023/03/01/us/politics/ukraine-russia-war-support-biden.html,"While she and her allies have been on the margins of the Republican Party on Ukraine, the center of gravity may be shifting. Mr. Trump lashed out at Mr. Biden last week for visiting Kyiv instead of East Palestine, Ohio, the site of a recent toxic train derailment. In a fund-raising video, Mr. Trump said, “we’re teetering on the brink of World War III” thanks to Mr. Biden and promised to “end the Ukraine conflict in 24 hours.”

How Times reporters cover politics. We rely on our journalists to be independent observers. So while Times staff members may vote, they are not allowed to endorse or campaign for candidates or political causes. This includes participating in marches or rallies in support of a movement or giving money to, or raising money for, any political candidate or election cause. Learn more about our process.

Gov. Ron DeSantis of Florida, his most formidable potential challenger for the 2024 nomination, sought to match Mr. Trump, criticizing what he called the “open-ended blank check” for Ukraine and saying “I don’t think it’s in our interest” to be involved in the fight for territory seized by Russia.

By contrast, the announced and unannounced Republican presidential candidates who do support aid to Ukraine, like former Vice President Mike Pence and Nikki Haley, the former ambassador to the United Nations, trail far behind those two front-runners.

Mr. Surabian said a rematch between Mr. Biden and Mr. Trump would sharpen the nation’s debate over Ukraine. “If Donald Trump is the nominee, I 100 percent expect him to prosecute the case against Biden directly on the Ukraine issue,” he said. “I think this will become a centerpiece issue between him and Biden.”

So far, Congress has approved $113 billion in military, economic, humanitarian and other aid for Ukraine, not all of which has been spent yet. Anticipating trouble from the new Republican House, the White House and lame-duck Democratic majority last winter pushed through an aid package large enough to last until summer. At the current rate of spending, it would run out by mid-July, according to the Center for Strategic and International Studies.

A House Democrat who asked not to be identified speaking critically of the White House expressed concern that the president’s team did not fully grasp how Americans viewed the aid. While they support Ukraine in principle, this Democrat said, the way the aid has been doled out through a steady drumbeat of announcements of another $500 million or $1 billion every week or two exacerbates the sense that endless funds are heading out of the country.

Philip D. Zelikow, a University of Virginia scholar and former State Department counselor, said military aid was more popular than economic aid because much of it is actually spent on arms produced by American defense firms. But he said that economic aid was critical to rebuilding Ukraine, and he argued that seizing $300 billion in Russian assets in the West for reconstruction would ease the burden on the American taxpayer."
"Ukraine Reinforces Embattled Bakhmut, but Mission Is Unclear","Thu, 02 Mar 2023 20:53:39 +0000","Amid persistent rumors of Ukrainian withdrawal from the war’s most prolonged battle, officials said nothing about the size or purpose of the reinforcement.",Matthew Mpoke Bigg and Edward Wong,https://www.nytimes.com/2023/03/01/world/europe/ukraine-russia-bakhmut-reinforcements.html,"Ukraine is sending reinforcements to the devastated eastern city of Bakhmut, leading more troops into a bloody crucible that has already cost both sides staggering losses, and where Russian forces have gradually tightened their grip.

A Ukrainian deputy defense minister, Hanna Maliar, said Wednesday that her government had begun deploying new fighters to Bakhmut, site of the most protracted battle of the war, but she did not say how many were being sent. More critically, Ms. Maliar, speaking on Ukrainian television, did not say what their role would be, in a battle that has left the ravaged Bakhmut a city in name only.

The new forces could be used to dig in and try to hold onto the territory, exacting the maximum casualties on the Russians, who have lost thousands of troops in repeated, futile assaults on Ukrainian positions. They might be used to tie down Russian forces so they cannot redeploy to other battles. Or they might be there to offer logistical support for Ukraine’s long-rumored withdrawal from Bakhmut.

That last explanation seemed to gain some ground this week when another Ukrainian official, the economic adviser Alexander Rodnyansky, laid out the challenges in an interview with CNN."
"Hundreds of Schoolgirls Fall Sick in Iran, and Officials Suspect Poisoning","Thu, 02 Mar 2023 04:05:43 +0000","Girls have been hospitalized in over 10 cities with respiratory, cardiac and neurological symptoms. Senior officials said they might have been poisoned.",Farnaz Fassihi,https://www.nytimes.com/2023/03/01/world/middleeast/iran-schoolgirls-poison.html,"Hundreds of schoolgirls in Iran have been hospitalized in over 10 cities after falling sick with respiratory, cardiac and neurological symptoms, and senior officials said they might have been deliberately poisoned.

Interior Minister Ahmad Vahidi said at a news conference on Wednesday that the motive behind what some officials called school attacks remained unclear and that no arrests had been made. But the government held an emergency meeting on Wednesday with officials from the health and education ministries, he said, and teams from the Intelligence Ministry and security forces began an investigation.

“The topic of the poisoning of our dear ones was discussed,” Mr. Vahidi said, according to a video of his comments carried by state news media. He attributed some of the girls’ symptoms to stress and anxiety and blamed Iran’s enemies and foreign news outlets for causing public alarm.

The first reports of girls’ falling sick emerged three months ago in the religious city of Qom, which is about 80 miles southwest of the capital, Tehran. Students reported smelling mysterious odors like tangerine and chlorides and were hospitalized after having difficulty breathing and experiencing heart palpitations, nausea and numbness in their limbs."
